Class,Word
0,ちゅっ
0,ぴゅっ
0,ばしゃっ
0,ぱしゃっ
0,ばちゃっ
0,ぱちゃっ
0,はらはら
0,びしゃっ
0,ぴしゃっ
0,びちゃっ
0,ぴちゃっ
0,ぼしゃっ
0,ぽたり
0,ぽたん
0,ぽつり
0,ぽつん
0,ぽとり
0,ぽとん
0,ぼたぼた
0,ぽたぽた
0,ぽとぽと
0,ぽろぽろ
1,がばがば
1,ごーっ
1,ころころ
1,さーっ
1,ざーっ
1,ざーざー
1,さらさら
1,しゃーしゃー
1,じゃーじゃー
1,しょろしょろ
1,せんせん
1,だくだく
1,だぼだぼ
1,たらたら
1,だらだら
1,ちょろちょろ
1,どーっ
1,どーどー
1,とくとく
1,どくどく
1,どばどば
1,どぶどぶ
1,どぼどぼ
1,とろとろ
2,ごろごろ
2,こんこん
2,ざーざー
2,さーっ
2,さっ
2,ざーっ
2,ざっ
2,ざざっ
2,ざんざら
2,ざんざん
2,しとしと
2,じとじと
2,じめじめ
2,しゃりしゃり
2,しょぼしょぼ
2,ちらほら
2,どしゃどしゃ
2,どんより
2,はらはら
2,ばらばら
2,ぱらぱら
2,びしゃびしゃ
2,びちゃびちゃ
2,びしょびしょ
2,びちょびちょ
2,ぽつぽつ
2,みりり
3,がたがた
3,ごつごつ
3,ごろごろ
3,こんもり
3,ざーっ
3,さくさく
3,さくっ
3,さくりさくり
3,ざっく
3,じゃくり
3,じゃりじゃり
3,じゃりっ
3,ずぶずぶ
3,ずぼずぼ
3,そくそく
3,でこぼこ
3,べちょっ
3,ぼこぼこ
3,もー
4,うつらうつら
4,がたがた
4,がくん
4,ぐずり
4,くらくら
4,ぐらぐら
4,くらっ
4,くらり
4,ぐらっ
4,ぐらり
4,くらりくらり
4,ぐりぐり
4,ごとごと
4,じわじわ
4,たぽたぽ
4,たぷたぷ
4,だらりだらり
4,ちょろちょろ
4,とぷんとぷん
4,ばさらばさら
4,びろびろ
4,ふよふよ
4,ふらふら
4,ぶらぶら
4,ぷらぷら
4,ふらりふらり
4,ぶらりぶらり
4,ぷらりぷらり
4,ぶらん
4,ぶらんぶらん
4,ぶるぶる
4,ぶるる
4,ぶるん
4,ぷるる
4,ぷるん
4,ぷるんぷるん
4,へらへら
4,ぺらぺら
4,ぽよぽよ
4,ゆさゆさ
4,ゆさり
4,ゆっさゆっさ
4,ゆらっ
4,ゆらゆら
4,ゆらり
4,ゆらりゆらり
4,よろりよろり
5,ごーっ
5,さーさー
5,さーっ
5,ざーっ
5,さやさや
5,さわさわ
5,ざんざ
5,すーすー
5,すーっ
5,すかすか
5,そよそよ
5,そよ
5,そより
5,はたはた
5,ばたばた
5,ぱたぱた
5,ひゅー
5,ぴゅー
5,びゅー
5,ひゅーひゅー
5,びゅーびゅー
5,ぴゅーぴゅー
5,ひゅっ
5,びゅっ
5,ぴゅっ
5,ひゅるるん
5,びゅんびゅん
5,ぴゅんぴゅん
5,ふー
5,ぶぉーっ
5,ぶんぶん
5,さわさわ
